ID,Form,Lemma,Postag,NER,Head,Deprel,Clausal Tag,Record ID,Sentence ID,Document ID,Document
24,Union,Union,NNP,O,21,nmod:of,0,24,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,",",",",",",O,28,punct,0,25,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,"""","""",``,O,27,punct,NP,26,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
27,I,I,PRP,O,28,nsubj,0,27,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
28,take,take,VBP,O,1,parataxis,VP,28,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
29,the,the,DT,O,30,det,NP,29,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
30,liberty,liberty,NN,O,28,obj,0,30,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
31,of,of,IN,O,32,mark,0,31,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
32,addressing,address,VBG,O,30,acl:of,VP,32,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
33,you,you,PRP,O,32,obj,NP,33,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
34,on,on,IN,O,36,case,0,34,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
35,several,several,JJ,O,36,amod,NP,35,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
36,matters,matter,NNS,O,38,nsubj,0,36,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
37,which,which,WDT,O,36,ref,SBAR,37,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
38,ought,ought,MD,O,36,acl:relcl,VP,38,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
39,",",",",",",O,28,punct,0,39,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
40,as,as,IN,O,42,mark,SBAR,40,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
41,it,it,PRP,O,48,nsubj:xsubj,NP,41,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
42,seems,seem,VBZ,O,28,advcl:as,VP,42,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
43,to,to,IN,O,44,case,0,43,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
44,me,I,PRP,O,42,obl:to,NP,44,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
45,",",",",",",O,42,punct,0,45,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
46,particularly,particularly,RB,O,48,advmod,0,46,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
47,to,to,TO,O,48,mark,VP,47,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
48,engage,engage,VB,O,42,xcomp,VP,48,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
49,the,the,DT,O,50,det,NP,49,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
50,attention,attention,NN,O,48,obj,0,50,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
51,of,of,IN,O,54,case,0,51,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
52,your,you,PRP$,O,54,nmod:poss,NP,52,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
53,honorable,honorable,JJ,O,54,amod,0,53,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
54,bodies,body,NNS,O,50,nmod:of,0,54,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
55,",",",",",",O,50,punct,0,55,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
56,as,as,IN,O,58,cc,0,56,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
57,of,of,IN,O,56,dep,0,57,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
58,all,all,DT,O,60,nsubj,NP,58,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
59,who,who,WP,O,58,ref,SBAR,59,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
60,study,study,VBP,O,58,acl:relcl,VP,60,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
61,the,the,DT,O,62,det,NP,61,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
62,welfare,welfare,NN,O,60,obj,0,62,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
63,and,and,CC,O,64,cc,0,63,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
64,progress,progress,NN,O,62,conj:and,0,64,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
65,of,of,IN,O,67,case,0,65,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
66,the,the,DT,O,67,det,NP,66,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
67,Nation,Nation,NNP,O,62,nmod:of,0,67,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
68,.,.,.,O,1,punct,0,68,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,I,I,PRP,O,68,nsubj,NP,69,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,shall,shall,MD,O,3,aux,VP,70,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,ask,ask,VB,O,0,ROOT,VP,71,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,your,you,PRP$,O,5,nmod:poss,NP,72,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,indulgence,indulgence,NN,O,3,obj,0,73,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,if,if,IN,O,8,mark,SBAR,74,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,I,I,PRP,O,10,nsubj:xsubj,S,75,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,venture,venture,VBP,O,3,advcl:if,VP,76,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,to,to,TO,O,10,mark,VP,77,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,depart,depart,VB,O,8,xcomp,VP,78,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,in,in,IN,O,13,case,0,79,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,some,some,DT,O,13,det,NP,80,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,degree,degree,NN,O,10,obl:in,0,81,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,from,from,IN,O,17,case,0,82,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,the,the,DT,O,17,det,NP,83,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,usual,usual,JJ,O,17,amod,0,84,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,custom,custom,NN,O,10,obl:from,0,85,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,of,of,IN,O,19,mark,0,86,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,setting,set,VBG,O,17,acl:of,VP,87,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,before,before,IN,O,21,case,0,88,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,you,you,PRP,O,19,obl:before,NP,89,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,in,in,IN,O,24,case,0,90,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,formal,formal,JJ,O,24,amod,NP,91,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
24,review,review,NN,O,21,nmod:in,0,92,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,the,the,DT,O,27,det,NP,93,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,many,many,JJ,O,27,amod,0,94,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
27,matters,matter,NNS,O,34,nsubj,0,95,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
28,which,which,WDT,O,27,ref,SBAR,96,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
29,have,have,VBP,O,30,aux,VP,97,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
30,engaged,engage,VBN,O,27,acl:relcl,VP,98,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
31,the,the,DT,O,32,det,NP,99,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
32,attention,attention,NN,O,30,obj,0,100,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
33,and,and,CC,O,34,cc,0,101,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
34,called,call,VBN,O,30,conj:and,VP,102,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
35,for,for,IN,O,37,case,0,103,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
36,the,the,DT,O,37,det,NP,104,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
37,action,action,NN,O,34,obl:for,0,105,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
38,of,of,IN,O,41,case,0,106,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
39,the,the,DT,O,41,det,NP,107,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
40,several,several,JJ,O,41,amod,0,108,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
41,departments,department,NNS,O,37,nmod:of,0,109,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
42,of,of,IN,O,44,case,0,110,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
43,the,the,DT,O,44,det,NP,111,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
44,Government,government,NN,O,41,nmod:of,0,112,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
45,or,or,CC,O,47,cc,0,113,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
46,which,which,WDT,O,47,nsubj,SBAR,114,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
47,look,look,VBP,O,8,conj:or,VP,115,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
48,to,to,IN,O,49,case,0,116,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
49,them,they,PRP,O,47,obl:to,NP,117,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
50,for,for,IN,O,52,case,0,118,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
51,early,early,JJ,O,52,amod,NP,119,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
52,treatment,treatment,NN,O,47,obl:for,0,120,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
53,in,in,IN,O,55,case,0,121,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
54,the,the,DT,DATE,55,det,NP,122,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
55,future,future,NN,DATE,47,obl:in,0,123,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
56,",",",",",",O,47,punct,0,124,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
57,because,because,IN,O,60,mark,SBAR,125,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
58,the,the,DT,O,59,det,NP,126,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
59,list,list,NN,O,60,nsubj,0,127,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
60,is,be,VBZ,O,47,advcl:because,VP,128,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
61,long,long,RB,O,64,advmod,0,129,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
62,",",",",",",O,64,punct,0,130,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
63,very,very,RB,O,64,advmod,0,131,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
64,long,long,RB,O,60,advmod,0,132,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
65,",",",",",",O,3,punct,0,133,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
66,and,and,CC,O,68,cc,0,134,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
67,would,would,MD,O,68,aux,VP,135,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
68,suffer,suffer,VB,O,3,conj:and,VP,136,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
69,in,in,IN,O,71,case,0,137,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
70,the,the,DT,O,71,det,NP,138,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
71,abbreviation,abbreviation,NN,O,76,obl:to,0,139,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
72,to,to,TO,O,73,case,SBAR,140,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
73,which,which,WDT,O,71,ref,0,141,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
74,I,I,PRP,O,78,nsubj:xsubj,S,142,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
75,should,should,MD,O,76,aux,VP,143,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
76,have,have,VB,O,71,acl:relcl,VP,144,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
77,to,to,TO,O,78,mark,VP,145,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
78,subject,subject,VB,O,76,xcomp,VP,146,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
79,it,it,PRP,O,78,obj,NP,147,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
80,.,.,.,O,3,punct,0,148,2,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,I,I,PRP,O,28,nsubj,NP,149,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,shall,shall,MD,O,3,aux,VP,150,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,submit,submit,VB,O,0,ROOT,VP,151,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,to,to,IN,O,5,case,0,152,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,you,you,PRP,O,3,obl:to,NP,153,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,the,the,DT,O,7,det,NP,154,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,reports,report,NNS,O,3,obj,0,155,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,of,of,IN,O,10,case,0,156,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,the,the,DT,O,10,det,NP,157,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,heads,head,NNS,O,7,nmod:of,0,158,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,of,of,IN,O,14,case,0,159,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,the,the,DT,O,14,det,NP,160,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,several,several,JJ,O,14,amod,0,161,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,departments,department,NNS,O,21,obl:in,0,162,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,",",",",",",O,14,punct,0,163,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,in,in,IN,O,17,case,SBAR,164,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,which,which,WDT,O,14,ref,0,165,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,these,these,DT,O,19,det,NP,166,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,subjects,subject,NNS,O,21,nsubj:pass,0,167,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,are,be,VBP,O,21,aux:pass,VP,168,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,set,set,VBN,O,14,acl:relcl,VP,169,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,forth,forth,RP,O,21,compound:prt,0,170,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,in,in,IN,O,25,case,0,171,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
24,careful,careful,JJ,O,25,amod,NP,172,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,detail,detail,NN,O,21,obl:in,0,173,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,",",",",",",O,14,punct,0,174,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
27,and,and,CC,O,28,cc,0,175,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
28,beg,beg,VB,O,3,conj:and,VP,176,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
29,that,that,IN,O,32,mark,SBAR,177,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
30,they,they,PRP,O,32,nsubj,NP,178,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
31,may,may,MD,O,32,aux,VP,179,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
32,receive,receive,VB,O,28,ccomp,VP,180,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
33,the,the,DT,O,35,det,NP,181,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
34,thoughtful,thoughtful,JJ,O,35,amod,0,182,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
35,attention,attention,NN,O,32,obj,0,183,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
36,of,of,IN,O,38,case,0,184,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
37,your,you,PRP$,O,38,nmod:poss,NP,185,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
38,committees,committee,NNS,O,32,obl:of,0,186,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
39,and,and,CC,O,42,cc,0,187,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
40,of,of,IN,O,42,case,0,188,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
41,all,all,DT,O,42,det,NP,189,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
42,Members,member,NNS,O,38,conj:and,0,190,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
43,of,of,IN,O,45,case,0,191,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
44,the,the,DT,O,45,det,NP,192,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
45,Congress,Congress,NNP,ORGANIZATION,48,nsubj,0,193,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
46,who,who,WP,O,45,ref,SBAR,194,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
47,may,may,MD,O,48,aux,VP,195,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
48,have,have,VB,O,45,acl:relcl,VP,196,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
49,the,the,DT,O,50,det,NP,197,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
50,leisure,leisure,NN,O,48,obj,0,198,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
51,to,to,TO,O,52,mark,VP,199,3,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
